,EC_Multi_layer_right_pli_gamma
734,0.7673569076692643
735,0.005762923452342039
736,0.16656299241906264
737,0.00576292345234206
738,0.0028767611138652807
739,0.1578613922854241
740,0.4123460659172599
741,0.47122123605186556
742,0.017318351456581366
743,0.1804009945678308
744,0.16014976287460972
745,0.35347089578265456
746,0.47122123605186556
747,0.5492383292625425
748,0.2840942787218637
749,0.0031137900405428806
750,0.03286363731410143
751,0.11318631025387536
752,0.02444518288449144
753,0.029594247371450947
754,0.2614649007028446
755,0.022355130799729388
756,0.2614649007028446
757,0.07965446583728598
758,0.006391557315556483
759,0.10518873077031465
760,0.26146490070284467
761,0.08024104170898357
762,0.022629378019019063
763,0.031765887120916686
764,0.02428993238943353
765,0.027503161045918635
766,0.2614649007028446
767,0.003113790040542838
768,0.26146490070284467
769,1.0
770,0.006860572788504142
771,0.34193856074384615
772,0.26146490070284467
773,0.28065131772266594
774,0.28229174770352883
775,0.008592687667065781
776,0.0058450820547503255
777,0.029594247371450947
778,0.008305664521808288
779,0.006350964760282065
780,0.07338046892047943
781,0.011909017356335958
782,0.0894049318313634
783,0.26146490070284456
784,0.2614649007028446
785,0.0033422814138377964
786,0.0017937989829108273
787,0.28244511670557665
788,0.26146490070284456
789,0.0008738892779900369
790,0.003113790040542874
791,0.08654843521325035
792,0.38653384507531735
793,0.040612390031365526
794,0.12271099062295826
795,0.0014193014174656328
796,0.004293059350307039
797,0.05671847843984477
798,0.0005268055656794208
799,0.24973489865220275
800,0.3969399618370491
801,0.22932392336853105
802,0.013426607469114279
803,0.008553445976375652
804,0.13122983041074815
805,0.10941650296320131
806,0.22932392336853102
807,0.69365196240299
808,0.2293239233685309
809,0.03554177015118179
810,0.3039705570503452
811,0.04061239003136548
812,0.08256328802497263
813,0.004361365823744855
814,0.33060372607336624
815,0.001593465300395507
816,0.14998117072017272
817,0.013426607469114319
818,0.09702471881469499
819,0.12271099062295818
820,0.09431352966819659
821,0.08256328802497265
822,0.03207673356135871
823,0.12271099062295826
824,0.37117243680346995
825,0.013192125435322857
826,0.37117243680346995
827,0.0014193014174655645
828,0.3711724368034698
829,1.0
830,0.2614006569298898
831,0.33060372607336624
832,0.9194408080654516
833,0.021579141419981556
834,0.22932392336853086
835,0.330603726073366
836,0.0020058008996893385
837,0.004356332670597881
838,0.29058073733738393
839,0.29058073733738393
840,0.03332992553701368
841,0.0052741077674413874
842,0.3173793498392797
843,0.0034574831337695813
844,0.0020058008996893593
845,0.015085123649165668
846,0.349623104861539
847,0.3249008298970109
848,0.290580737337384
849,1.0
850,0.3173793498392798
851,0.10159373960085151
852,0.3587448426506284
853,0.0922243254919574
854,0.10159373960085147
855,0.03432009255962695
856,0.1028025555890865
857,0.0012088159882348928
858,0.3204531797406279
859,0.004160000416102487
860,0.0020058008996893437
861,0.09222432549195739
862,0.015731749587919792
863,0.015085123649165678
864,0.0020058008996893376
865,0.014991815047739656
866,0.018150231896885652
867,0.0069027318123996316
868,0.0012088159882348958
869,0.00527410776744138
870,0.13033454392132365
871,0.013725948688230433
872,0.11810862920269538
873,0.011898528324522714
874,0.05191370834623155
875,0.29058073733738393
876,0.10424434089340326
877,0.29058073733738404
878,0.037872707873189755
879,0.04723626491557065
880,0.04557255943429977
881,0.3202833932817789
882,0.10052956048746177
883,0.08711361289484389
884,0.005864588480135532
885,0.0027742667747681533
886,0.006621470619622353
887,0.021495992730334843
888,0.006884809493632024
889,0.027901043538995744
