,EC_Multi_layer_right_hbr
637,0.0012203817168350995
638,0.34925882230380645
639,0.050691077425753114
640,1.0
641,0.18540669433727505
642,0.038844951410283636
643,0.100013004380594
644,0.18644269727113447
645,0.1908065111618495
646,0.004714586126004911
647,0.07879988966638614
648,0.845697343719922
649,0.05060327491969125
650,0.41298323200063636
651,0.014425679450308657
652,0.01577265457553765
653,0.03493042412503177
654,0.008460886879698055
655,0.34925882230380606
656,0.10163276018812951
657,0.020898304026151004
658,0.002955039387248993
659,0.3492588223038065
660,0.25369300631707614
661,0.025083501693173013
662,0.0021491570604651247
663,0.006790031322134811
664,0.1872544996246727
665,0.3818978643426752
666,0.0033293297406906375
667,0.004351014143615604
668,0.13218975757752474
669,0.23626239778104374
670,0.444683897398446
671,0.10363437204498777
672,0.40850307050034085
673,0.001360041421780326
674,0.3496577030597926
675,0.17144630630252405
676,0.045922530100757177
677,0.08733310767162543
678,0.004368458335850328
679,0.0017845286435472418
680,0.09651391493732914
681,0.05749672470132155
682,0.11726220952844975
683,0.7476169662737865
684,0.035675842640195576
685,0.4482400716050131
686,0.21135804712732392
687,1.0
688,0.07003634255052307
689,0.07649403806168366
690,0.005234241811581876
691,0.015480929272143423
692,0.008909291431048691
693,0.2870534348366715
694,0.0043831175922273095
695,0.8015158551169892
696,0.49032612409859083
697,0.5173964711414518
698,0.012813225137257682
699,0.010651117354604875
700,0.0008779372581874243
701,0.20029972724080553
702,0.14074979811265223
703,0.0017905169947888212
704,0.015588222802309907
705,0.17015526236274303
706,0.25887251024485647
707,0.053799721794935244
708,0.12790927720957823
709,0.22370448984586475
710,0.4137302597294733
711,0.12689451975169988
712,0.5168828395178058
713,0.2191438449906872
714,0.09232175199688136
715,0.07798826546545529
716,0.025336604068796398
717,0.09027971209957895
718,0.5541713179573766
719,0.0948444372659698
720,0.17541004067903296
721,0.4239719879172701
722,0.07917499043029363
723,0.03356797808606202
724,1.0
725,0.08346246956582339
726,0.09424191564852415
727,0.4954139478533799
728,0.8636202475270993
729,0.30488607357931014
730,0.0649431080307827
731,0.05603746382057044
732,0.5415608338287021
733,0.05976008979569782
734,0.02533660406879638
735,0.0034160630814696197
736,0.028709820619600274
737,0.02375831493384922
738,0.09085984758375754
739,0.03042598150944476
740,0.006667666575595268
741,0.015726667717717937
742,0.052128092043476806
743,0.15317782750179093
744,0.19685845278558722
745,0.3070941801596391
746,0.008057284865094329
747,0.12198449976776919
748,0.0013985302554990998
749,0.04167812498879352
750,0.5344707910182787
751,0.0002591560202398257
752,0.009722858165366588
753,0.018191561314028912
754,0.114472620515127
755,0.6489434115334052
756,0.11352039955885534
757,0.08502789862537463
758,0.2725550456041043
759,0.0020824356948785684
760,0.0002905261639116977
761,0.2725550456041041
762,0.061786338802019426
763,0.3062083997951076
764,1.0
765,0.5486051382097948
